"","week","date","age_group","risk_group","risk_coverage","prop_up_to_date_sim_period"
"1",1,2023-07-08,"0-17 years","healthy",0.109062904376014,0.00117664737720842
"2",2,2023-07-15,"0-17 years","healthy",0.163594356564021,0.00117664737720842
"3",3,2023-07-22,"0-17 years","healthy",0.218125808752027,0.00117664737720842
"4",4,2023-07-29,"0-17 years","healthy",0.272657260940034,0.00117664737720842
"5",5,2023-08-05,"0-17 years","healthy",0.327188713128041,0.00117664737720842
"6",6,2023-08-12,"0-17 years","healthy",0.381720165316048,0.00117664737720842
"7",7,2023-08-19,"0-17 years","healthy",0.436251617504055,0.00117664737720842
"8",8,2023-08-26,"0-17 years","healthy",0.490783069692061,0.00117664737720842
"9",9,2023-09-02,"0-17 years","healthy",0.545314521880068,0.00117664737720842
"10",10,2023-09-09,"0-17 years","healthy",0.599845974068075,0.00117664737720842
"11",11,2023-09-16,"0-17 years","healthy",0.654377426256082,0.00117664737720842
"12",12,2023-09-23,"0-17 years","healthy",0.708908878444089,0.00117664737720842
"13",28,2024-01-13,"0-17 years","healthy",36.3463803819338,0.00218053821717059
"14",29,2024-01-20,"0-17 years","healthy",36.996974349194,0.0140381312891694
"15",30,2024-01-27,"0-17 years","healthy",37.2545328954635,0.00555744576360925
"16",31,2024-02-03,"0-17 years","healthy",39.2000298170303,0.0419787802869489
"17",32,2024-02-10,"0-17 years","healthy",39.2655809327899,0.00141442315098526
"18",33,2024-02-17,"0-17 years","healthy",39.9210920903854,0.0141442315098523
"19",34,2024-02-24,"0-17 years","healthy",40.0521943219045,0.00282884630197039
"20",35,2024-03-02,"0-17 years","healthy",41.3891589566056,0.0288482310248754
"21",36,2024-03-09,"0-17 years","healthy",41.4194759193178,0.000654161465151215
"22",37,2024-03-16,"0-17 years","healthy",41.7573371523529,0.00729016957664323
"23",38,2024-03-23,"0-17 years","healthy",42.3909979380285,0.0136727571261905
"24",39,2024-03-30,"0-17 years","healthy",42.4565490537881,0.00141442315098513
"25",40,2024-04-06,"0-17 years","healthy",43.2794816902169,0.0177567530190619
"26",41,2024-04-13,"0-17 years","healthy",43.3013320621368,0.000471474383661711
"27",42,2024-04-20,"0-17 years","healthy",43.3231824340566,0.000471474383661711
"28",43,2024-04-27,"0-17 years","healthy",43.5283023721275,0.00442595653444503
"29",44,2024-05-04,"0-17 years","healthy",44.634747296381,0.0238742132459618
"30",45,2024-05-11,"0-17 years","healthy",44.7289763114076,0.00203321787590902
"31",46,2024-05-18,"0-17 years","healthy",44.7726770552473,0.000942948767323422
"32",47,2024-05-25,"0-17 years","healthy",44.7726770552473,0
"33",48,2024-06-01,"0-17 years","healthy",45.6029911882016,0.0179160265791462
"34",49,2024-06-08,"0-17 years","healthy",45.6248415601214,0.000471474383661466
"35",50,2024-06-15,"0-17 years","healthy",45.6466919320413,0.000471474383662201
"36",51,2024-06-22,"0-17 years","healthy",45.690392675881,0.000942948767323422
"37",52,2024-06-30,"0-17 years","healthy",45.690392675881,0
"38",13,2023-09-30,"0-17 years","healthy",3.7391377560063,0.0806808998677906
"39",14,2023-10-07,"0-17 years","healthy",7.4782755120126,0.0806808998677906
"40",15,2023-10-14,"0-17 years","healthy",9.85996605127627,0.0513907078191299
"41",16,2023-10-21,"0-17 years","healthy",12.5879844143673,0.0588635644772625
"42",17,2023-10-28,"0-17 years","healthy",14.8251889409843,0.0482730742149872
"43",18,2023-11-04,"0-17 years","healthy",21.8197379953918,0.150924236736799
"44",19,2023-11-11,"0-17 years","healthy",23.3713856752678,0.0334805346203349
"45",20,2023-11-18,"0-17 years","healthy",25.8036044857183,0.0524809769277151
"46",21,2023-11-25,"0-17 years","healthy",26.5620825226994,0.0163659898476018
"47",22,2023-12-02,"0-17 years","healthy",30.9258605044107,0.0941590166936691
"48",23,2023-12-09,"0-17 years","healthy",31.4065686866475,0.0103724364405584
"49",24,2023-12-16,"0-17 years","healthy",31.5797325985611,0.00373642832906612
"50",25,2023-12-23,"0-17 years","healthy",32.6386561049513,0.0228488242374808
"51",26,2023-12-30,"0-17 years","healthy",32.8675367519539,0.00493865103868572
"52",27,2024-01-06,"0-17 years","healthy",36.2453238395601,0.072883889167258
"53",1,2023-07-08,"18-29 years","healthy",0.197147857235734,0.00195586342490004
"54",2,2023-07-15,"18-29 years","healthy",0.2957217858536,0.00195586342490004
"55",3,2023-07-22,"18-29 years","healthy",0.394295714471467,0.00195586342490004
"56",4,2023-07-29,"18-29 years","healthy",0.492869643089334,0.00195586342490004
"57",5,2023-08-05,"18-29 years","healthy",0.591443571707201,0.00195586342490004
"58",6,2023-08-12,"18-29 years","healthy",0.690017500325067,0.00195586342490004
"59",7,2023-08-19,"18-29 years","healthy",0.788591428942934,0.00195586342490004
"60",8,2023-08-26,"18-29 years","healthy",0.887165357560801,0.00195586342490004
"61",9,2023-09-02,"18-29 years","healthy",0.985739286178668,0.00195586342490004
"62",10,2023-09-09,"18-29 years","healthy",1.08431321479653,0.00195586342490004
"63",11,2023-09-16,"18-29 years","healthy",1.1828871434144,0.00195586342490004
"64",12,2023-09-23,"18-29 years","healthy",1.28146107203227,0.00195586342490004
"65",21,2023-11-25,"18-29 years","healthy",22.6482092823259,0.0172837104230301
"66",16,2023-10-21,"18-29 years","healthy",11.3241046411629,0.0432092760575752
"67",19,2023-11-11,"18-29 years","healthy",20.470496851333,0.0345674208460602
"68",27,2024-01-06,"18-29 years","healthy",39.1988237578717,0.120985972961211
"69",14,2023-10-07,"18-29 years","healthy",6.96867977917718,0.0691348416921203
"70",22,2023-12-02,"18-29 years","healthy",30.9235165200988,0.164195249018786
"71",17,2023-10-28,"18-29 years","healthy",13.9373595583544,0.0518511312690902
"72",20,2023-11-18,"18-29 years","healthy",21.7771243099287,0.0259255656345451
"73",28,2024-01-13,"18-29 years","healthy",40.5054512164674,0.0259255656345452
"74",15,2023-10-14,"18-29 years","healthy",9.14639221017005,0.0432092760575752
"75",23,2023-12-09,"18-29 years","healthy",31.3590590062973,0.00864185521151508
"76",18,2023-11-04,"18-29 years","healthy",18.7283269065387,0.0950604073266654
"77",13,2023-09-30,"18-29 years","healthy",3.48433988958859,0.0691348416921203
"78",34,2024-02-24,"18-29 years","healthy",43.1187061336588,0
"79",29,2024-01-20,"18-29 years","healthy",41.3765361888645,0.01728371042303
"80",24,2023-12-16,"18-29 years","healthy",31.7946014924959,0.00864185521151501
"81",32,2024-02-10,"18-29 years","healthy",42.2476211612617,0
"82",35,2024-03-02,"18-29 years","healthy",44.8608760784531,0.0345674208460602
"83",43,2024-04-27,"18-29 years","healthy",47.038588509446,0
"84",30,2024-01-27,"18-29 years","healthy",41.8120786750631,0.00864185521151501
"85",25,2023-12-23,"18-29 years","healthy",32.6656864648931,0.0172837104230301
"86",33,2024-02-17,"18-29 years","healthy",43.1187061336588,0.0172837104230302
"87",36,2024-03-09,"18-29 years","healthy",45.2964185646517,0.00864185521151501
"88",44,2024-05-04,"18-29 years","healthy",47.9096734818431,0.01728371042303
"89",31,2024-02-03,"18-29 years","healthy",42.2476211612617,0.00864185521151501
"90",26,2023-12-30,"18-29 years","healthy",33.1012289510916,0.00864185521151501
"91",47,2024-05-25,"18-29 years","healthy",48.3452159680417,0.00864185521151501
"92",42,2024-04-20,"18-29 years","healthy",47.038588509446,0
"93",37,2024-03-16,"18-29 years","healthy",45.2964185646517,0
"94",45,2024-05-11,"18-29 years","healthy",47.9096734818431,0
"95",40,2024-04-06,"18-29 years","healthy",47.038588509446,0.0345674208460602
"96",48,2024-06-01,"18-29 years","healthy",48.7807584542403,0.00864185521151501
"97",51,2024-06-22,"18-29 years","healthy",48.7807584542403,0
"98",38,2024-03-23,"18-29 years","healthy",45.2964185646517,0
"99",46,2024-05-18,"18-29 years","healthy",47.9096734818431,0
"100",41,2024-04-13,"18-29 years","healthy",47.038588509446,0
"101",49,2024-06-08,"18-29 years","healthy",48.7807584542403,0
"102",52,2024-06-30,"18-29 years","healthy",49.2163009404389,0.00864185521151516
"103",39,2024-03-31,"18-29 years","healthy",45.2964185646517,0
"104",50,2024-06-15,"18-29 years","healthy",48.7807584542403,0
"105",1,2023-07-08,"30-49 years","healthy",0.0889060260299902,0.000893565043475658
"106",3,2023-07-22,"30-49 years","healthy",0.17781205205998,0.000893565043475658
"107",4,2023-07-29,"30-49 years","healthy",0.222265065074976,0.000893565043475658
"108",5,2023-08-05,"30-49 years","healthy",0.266718078089971,0.000893565043475658
"109",6,2023-08-12,"30-49 years","healthy",0.311171091104966,0.000893565043475658
"110",17,2023-10-28,"30-49 years","healthy",14.9649093926752,0.0527201026054262
"111",8,2023-08-26,"30-49 years","healthy",0.400077117134956,0.000893565043475658
"112",9,2023-09-02,"30-49 years","healthy",0.444530130149951,0.000893565043475658
"113",10,2023-09-09,"30-49 years","healthy",0.488983143164946,0.000893565043475658
"114",11,2023-09-16,"30-49 years","healthy",0.533436156179941,0.000893565043475658
"115",18,2023-11-04,"30-49 years","healthy",23.4501672957384,0.170565037841085
"116",13,2023-09-30,"30-49 years","healthy",3.23982574480597,0.0651248326302324
"117",21,2023-11-25,"30-49 years","healthy",29.775541368931,0.0124047300248061
"118",16,2023-10-21,"30-49 years","healthy",12.3421933135465,0.0651248326302324
"119",24,2023-12-16,"30-49 years","healthy",36.2551928585429,0
"120",19,2023-11-11,"30-49 years","healthy",26.2271607912864,0.0558212851116278
"121",14,2023-10-07,"30-49 years","healthy",6.47965148961193,0.0651248326302324
"122",22,2023-12-02,"30-49 years","healthy",34.7124186943496,0.0992378401984493
"123",30,2024-01-27,"30-49 years","healthy",43.1976765974129,0.0155059125310077
"124",25,2023-12-23,"30-49 years","healthy",36.4094702749623,0.00310118250620148
"125",20,2023-11-18,"30-49 years","healthy",29.1584317032537,0.0589224676178294
"126",15,2023-10-14,"30-49 years","healthy",9.10236756874057,0.0527201026054262
"127",23,2023-12-09,"30-49 years","healthy",36.2551928585429,0.0310118250620155
"128",31,2024-02-03,"30-49 years","healthy",44.5861733451868,0.0279106425558138
"129",26,2023-12-30,"30-49 years","healthy",37.4894121898976,0.0217082775434108
"130",34,2024-02-24,"30-49 years","healthy",44.7404507616062,0.00310118250620159
"131",29,2024-01-20,"30-49 years","healthy",42.4262895153162,0.0124047300248061
"132",37,2024-03-16,"30-49 years","healthy",46.7460571750575,0
"133",32,2024-02-10,"30-49 years","healthy",44.5861733451868,0
"134",27,2024-01-06,"30-49 years","healthy",41.3463476003809,0.0775295626550385
"135",35,2024-03-02,"30-49 years","healthy",46.4375023422188,0.034113007568217
"136",43,2024-04-27,"30-49 years","healthy",48.1345539228315,0
"137",38,2024-03-23,"30-49 years","healthy",47.3631668407348,0.0124047300248061
"138",33,2024-02-17,"30-49 years","healthy",44.5861733451868,0
"139",28,2024-01-13,"30-49 years","healthy",41.8091798496389,0.00930354751860465
"140",36,2024-03-09,"30-49 years","healthy",46.7460571750575,0.00620236501240306
"141",44,2024-05-04,"30-49 years","healthy",48.5973861720895,0.00930354751860454
"142",39,2024-03-31,"30-49 years","healthy",47.5174442571541,0.00310118250620159
"143",47,2024-05-25,"30-49 years","healthy",48.5973861720895,0
"144",42,2024-04-20,"30-49 years","healthy",48.1345539228315,0.00310118250620181
"145",50,2024-06-15,"30-49 years","healthy",49.2144958377668,0.00310118250620137
"146",45,2024-05-11,"30-49 years","healthy",48.5973861720895,0
"147",40,2024-04-06,"30-49 years","healthy",47.9802765064121,0.00930354751860454
"148",48,2024-06-01,"30-49 years","healthy",49.0602184213475,0.00930354751860454
"149",2,2023-07-15,"30-49 years","healthy",0.133359039044985,0.000893565043475658
"150",51,2024-06-22,"30-49 years","healthy",49.2144958377668,0
"151",46,2024-05-18,"30-49 years","healthy",48.5973861720895,0
"152",41,2024-04-13,"30-49 years","healthy",47.9802765064121,0
"153",49,2024-06-08,"30-49 years","healthy",49.0602184213475,0
"154",7,2023-08-19,"30-49 years","healthy",0.355624104119961,0.000893565043475658
"155",52,2024-06-30,"30-49 years","healthy",49.2144958377668,0
"156",12,2023-09-23,"30-49 years","healthy",0.577889169194936,0.000893565043475658
"157",1,2023-07-08,"50-64 years","healthy",0.123925588293989,0.00131331742722879
"158",2,2023-07-15,"50-64 years","healthy",0.185888382440984,0.00131331742722879
"159",3,2023-07-22,"50-64 years","healthy",0.247851176587979,0.00131331742722879
"160",19,2023-11-11,"50-64 years","healthy",26.4938334620966,0.0858311424012865
"161",6,2023-08-12,"50-64 years","healthy",0.433739559028963,0.00131331742722879
"162",7,2023-08-19,"50-64 years","healthy",0.495702353175958,0.00131331742722879
"163",8,2023-08-26,"50-64 years","healthy",0.557665147322953,0.00131331742722879
"164",25,2023-12-23,"50-64 years","healthy",37.1820843487291,0.0352963421638584
"165",20,2023-11-18,"50-64 years","healthy",28.221938739251,0.0366276377270651
"166",11,2023-09-16,"50-64 years","healthy",0.743553529763937,0.00131331742722879
"167",12,2023-09-23,"50-64 years","healthy",0.805516323910931,0.00131331742722879
"168",18,2023-11-04,"50-64 years","healthy",22.4442889287278,0.09944573740287
"169",26,2023-12-30,"50-64 years","healthy",37.4509839500597,0.00569939650824256
"170",13,2023-09-30,"50-64 years","healthy",1.70809563710308,0.0362035282375938
"171",16,2023-10-21,"50-64 years","healthy",14.7318032283282,0.143918266702561
"172",24,2023-12-16,"50-64 years","healthy",35.5167900807197,0.0268005445833266
"173",32,2024-02-10,"50-64 years","healthy",42.343929461418,0.00916031137954278
"174",27,2024-01-06,"50-64 years","healthy",39.3367052689013,0.0399683504435954
"175",14,2023-10-07,"50-64 years","healthy",3.41619127420616,0.0362035282375938
"176",17,2023-10-28,"50-64 years","healthy",17.7524028486867,0.0640223891886885
"177",30,2024-01-27,"50-64 years","healthy",41.9117426369953,0.00903330532921964
"178",33,2024-02-17,"50-64 years","healthy",42.4150867375361,0.00150819684758498
"179",28,2024-01-13,"50-64 years","healthy",40.6172152287592,0.0271407393609776
"180",15,2023-10-14,"50-64 years","healthy",7.94168703189585,0.0959190515412237
"181",23,2023-12-09,"50-64 years","healthy",34.2523306342718,0.0266032316122894
"182",31,2024-02-03,"50-64 years","healthy",41.9117426369953,0
"183",34,2024-02-24,"50-64 years","healthy",42.6151831380487,0.0042410948947129
"184",21,2023-11-25,"50-64 years","healthy",29.1529755204596,0.0197335650689284
"185",29,2024-01-20,"50-64 years","healthy",41.4855480042458,0.0184045374709061
"186",37,2024-03-16,"50-64 years","healthy",43.6636026739966,0.000117934189585644
"187",40,2024-04-06,"50-64 years","healthy",44.7368470040188,0.0177513634978167
"188",35,2024-03-02,"50-64 years","healthy",43.6506552598458,0.0219470990888427
"189",22,2023-12-02,"50-64 years","healthy",32.9971804856018,0.0814789172125413
"190",51,2024-06-22,"50-64 years","healthy",46.4112365629607,0.00043998524576159
"191",38,2024-03-23,"50-64 years","healthy",43.6693808588243,0.000122470119954149
"192",41,2024-04-13,"50-64 years","healthy",44.9158637302528,0.00379430575339807
"193",36,2024-03-09,"50-64 years","healthy",43.6580384960145,0.000156489597719387
"194",44,2024-05-04,"50-64 years","healthy",45.3881768382007,0.00972730267562734
"195",52,2024-06-30,"50-64 years","healthy",46.4368103809941,0.000542043679056822
"196",39,2024-03-31,"50-64 years","healthy",43.8993312142797,0.00487385718114321
"197",42,2024-04-20,"50-64 years","healthy",44.9292391580946,0.000283495648042364
"198",50,2024-06-15,"50-64 years","healthy",46.3904778989503,7.48428510832343e-05
"199",45,2024-05-11,"50-64 years","healthy",45.3993051941651,0.000235868379171127
"200",48,2024-06-01,"50-64 years","healthy",46.386946786,0.0207949727751989
"201",43,2024-04-27,"50-64 years","healthy",44.9292391580946,0
"202",4,2023-07-29,"50-64 years","healthy",0.309813970734974,0.00131331742722879
"203",5,2023-08-05,"50-64 years","healthy",0.371776764881968,0.00131331742722879
"204",46,2024-05-18,"50-64 years","healthy",45.4058324029519,0.000138345876244561
"205",49,2024-06-08,"50-64 years","healthy",46.386946786,0
"206",9,2023-09-02,"50-64 years","healthy",0.619627941469947,0.00131331742722879
"207",10,2023-09-09,"50-64 years","healthy",0.681590735616942,0.00131331742722879
"208",47,2024-05-25,"50-64 years","healthy",45.4058324029519,0
"209",4,2023-07-29,"65-74 years","healthy",1.77168647362265,0.00690894208579268
"210",5,2023-08-05,"65-74 years","healthy",2.12602376834718,0.00690894208579268
"211",19,2023-11-11,"65-74 years","healthy",27.7988836211881,0.0387163142995457
"212",27,2024-01-06,"65-74 years","healthy",39.4644865693652,0.0290372357246592
"213",14,2023-10-07,"65-74 years","healthy",11.4173986301308,0.111309403611194
"214",9,2023-09-02,"65-74 years","healthy",3.5433729472453,0.00690894208579268
"215",10,2023-09-09,"65-74 years","healthy",3.89771024196983,0.00690894208579268
"216",20,2023-11-18,"65-74 years","healthy",31.7701527099292,0.0774326285990913
"217",28,2024-01-13,"65-74 years","healthy",40.2090995235042,0.0145186178623297
"218",15,2023-10-14,"65-74 years","healthy",17.4984044222657,0.118568712542359
"219",18,2023-11-04,"65-74 years","healthy",25.8132490768175,0.0483953928744321
"220",26,2023-12-30,"65-74 years","healthy",37.9752606610873,0.00725930893116483
"221",13,2023-09-30,"65-74 years","healthy",5.70869931506541,0.111309403611194
"222",21,2023-11-25,"65-74 years","healthy",32.390663505045,0.012098848218608
"223",16,2023-10-21,"65-74 years","healthy",21.4696735110069,0.0774326285990913
"224",24,2023-12-16,"65-74 years","healthy",37.3547498659715,0.0290372357246592
"225",32,2024-02-10,"65-74 years","healthy",42.1947340678747,0.00483953928744328
"226",35,2024-03-02,"65-74 years","healthy",43.4357556581064,0.0169383875060513
"227",22,2023-12-02,"65-74 years","healthy",34.6245023674619,0.0435558535869889
"228",17,2023-10-28,"65-74 years","healthy",23.3312058963543,0.0362965446558241
"229",25,2023-12-23,"65-74 years","healthy",37.6029541840178,0.00483953928744319
"230",33,2024-02-17,"65-74 years","healthy",42.3188362268979,0.00241976964372164
"231",36,2024-03-09,"65-74 years","healthy",43.932164294199,0.00967907857488638
"232",23,2023-12-09,"65-74 years","healthy",35.8655239576935,0.024197696437216
"233",31,2024-02-03,"65-74 years","healthy",41.9465297498284,0
"234",34,2024-02-24,"65-74 years","healthy",42.5670405449442,0.0048395392874431
"235",42,2024-04-20,"65-74 years","healthy",45.4213902024769,0.00241976964372164
"236",29,2024-01-20,"65-74 years","healthy",41.5742232727589,0.0266174660809377
"237",37,2024-03-16,"65-74 years","healthy",44.676777248338,0.0145186178623297
